id,parent_id/id,code,name,type
ciiu_0000,,0000,Desconocido,other
base.res_partner_industry_A,,SECCIÓN A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",view
ciiu_01,base.res_partner_industry_A,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",view
ciiu_011,ciiu_01,011,Cultivos agrícolas transitorios ,view
ciiu_0111,ciiu_011,0111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",dian
ciiu_0112,ciiu_011,0112,Cultivo de arroz ,dian
ciiu_0113,ciiu_011,0113,"Cultivo de hortalizas, raíces y tubérculos ",dian
ciiu_0114,ciiu_011,0114,Cultivo de tabaco ,dian
ciiu_0115,ciiu_011,0115,Cultivo de plantas textiles ,dian
ciiu_0119,ciiu_011,0119,Otros cultivos transitorios n.c.p.,dian
ciiu_012,ciiu_01,012,Cultivos agrícolas permanentes ,view
ciiu_0121,ciiu_012,0121,Cultivo de frutas tropicales y subtropicales,dian
ciiu_0122,ciiu_012,0122,Cultivo de plátano y banano,dian
ciiu_0123,ciiu_012,0123,Cultivo de café,dian
ciiu_0124,ciiu_012,0124,Cultivo de caña de azúcar,dian
ciiu_0125,ciiu_012,0125,Cultivo de flor de corte,dian
ciiu_0126,ciiu_012,0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,dian
ciiu_0127,ciiu_012,0127,Cultivo de plantas con las que se preparan bebidas,dian
ciiu_0128,ciiu_012,0128,Cultivo de especias y de plantas aromáticas y medicinales ,dian
ciiu_0129,ciiu_012,0129,Otros cultivos permanentes n.c.p.,dian
ciiu_013,ciiu_01,013,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",view
ciiu_0130,ciiu_013,0130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",dian
ciiu_014,ciiu_01,014,Ganadería ,view
ciiu_0141,ciiu_014,0141,Cría de ganado bovino y bufalino,dian
ciiu_0142,ciiu_014,0142,Cría de caballos y otros equinos ,dian
ciiu_0143,ciiu_014,0143,Cría de ovejas y cabras ,dian
ciiu_0144,ciiu_014,0144,Cría de ganado porcino,dian
ciiu_0145,ciiu_014,0145,Cría de aves de corral,dian
ciiu_0149,ciiu_014,0149,Cría de otros animales n.c.p.,dian
ciiu_015,ciiu_01,015,Explotación mixta (agrícola y pecuaria) ,view
ciiu_0150,ciiu_015,0150,Explotación mixta (agrícola y pecuaria) ,dian
ciiu_016,ciiu_01,016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",view
ciiu_0161,ciiu_016,0161,Actividades de apoyo a la agricultura ,dian
ciiu_0162,ciiu_016,0162,Actividades de apoyo a la ganadería,dian
ciiu_0163,ciiu_016,0163,Actividades posteriores a la cosecha ,dian
ciiu_0164,ciiu_016,0164,Tratamiento de semillas para propagación ,dian
ciiu_017,ciiu_01,017,Caza ordinaria y mediante trampas y actividades de servicios conexas ,view
ciiu_0170,ciiu_017,0170,Caza ordinaria y mediante trampas y actividades de servicios conexas ,dian
ciiu_02,base.res_partner_industry_A,02,Silvicultura y extracción de madera,view
ciiu_021,ciiu_02,021,Silvicultura y otras actividades forestales,view
ciiu_0210,ciiu_021,0210,Silvicultura y otras actividades forestales,dian
ciiu_022,ciiu_02,022,Extracción de madera ,view
ciiu_0220,ciiu_022,0220,Extracción de madera ,dian
ciiu_023,ciiu_02,023,Recolección de productos forestales diferentes a la madera,view
ciiu_0230,ciiu_023,0230,Recolección de productos forestales diferentes a la madera,dian
ciiu_024,ciiu_02,024,Servicios de apoyo a la silvicultura ,view
ciiu_0240,ciiu_024,0240,Servicios de apoyo a la silvicultura ,dian
ciiu_03,base.res_partner_industry_A,03,Pesca y acuicultura,view
ciiu_031,ciiu_03,031,Pesca ,view
ciiu_0311,ciiu_031,0311,Pesca marítima ,dian
ciiu_0312,ciiu_031,0312,Pesca de agua dulce ,dian
ciiu_032,ciiu_03,032,Acuicultura ,view
ciiu_0321,ciiu_032,0321,Acuicultura marítima ,dian
ciiu_0322,ciiu_032,0322,Acuicultura de agua dulce,dian
base.res_partner_industry_B,,SECCIÓN B,EXPLOTACIÓN DE MINAS Y CANTERAS,view
ciiu_05,base.res_partner_industry_B,05,Extracción de carbón de piedra y lignito,view
ciiu_051,ciiu_05,051,Extracción de hulla (carbón de piedra),view
ciiu_0510,ciiu_051,0510,Extracción de hulla (carbón de piedra),dian
ciiu_052,ciiu_05,052,Extracción de carbón lignito,view
ciiu_0520,ciiu_052,0520,Extracción de carbón lignito,dian
ciiu_06,base.res_partner_industry_B,06,Extracción de petróleo crudo y gas natural,view
ciiu_061,ciiu_06,061,Extracción de petróleo crudo,view
ciiu_0610,ciiu_061,0610,Extracción de petróleo crudo,dian
ciiu_062,ciiu_06,062,Extracción de gas natural,view
ciiu_0620,ciiu_062,0620,Extracción de gas natural,dian
ciiu_07,base.res_partner_industry_B,07,Extracción de minerales metalíferos,view
ciiu_071,ciiu_07,071,Extracción de minerales de hierro,view
ciiu_0710,ciiu_071,0710,Extracción de minerales de hierro,dian
ciiu_072,ciiu_07,072,Extracción de minerales metalíferos no ferrosos,view
ciiu_0721,ciiu_072,0721,Extracción de minerales de uranio y de torio,dian
ciiu_0722,ciiu_072,0722,Extracción de oro y otros metales preciosos,dian
ciiu_0723,ciiu_072,0723,Extracción de minerales de níquel,dian
ciiu_0729,ciiu_072,0729,Extracción de otros minerales metalíferos no ferrosos n.c.p.,dian
ciiu_08,base.res_partner_industry_B,08,Extracción de otras minas y canteras,view
ciiu_081,ciiu_08,081,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares",view
ciiu_0811,ciiu_081,0811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",dian
ciiu_0812,ciiu_081,0812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",dian
ciiu_082,ciiu_08,082,"Extracción de esmeraldas, piedras preciosas y semipreciosas",view
ciiu_0820,ciiu_082,0820,"Extracción de esmeraldas, piedras preciosas y semipreciosas",dian
ciiu_089,ciiu_08,089,Extracción de otros minerales no metálicos n.c.p.,view
ciiu_0891,ciiu_089,0891,Extracción de minerales para la fabricación de abonos y productos químicos,dian
ciiu_0892,ciiu_089,0892,Extracción de halita (sal),dian
ciiu_0899,ciiu_089,0899,Extracción de otros minerales no metálicos n.c.p.,dian
ciiu_09,base.res_partner_industry_B,09,Actividades de servicios de apoyo para la explotación de minas ,view
ciiu_091,ciiu_09,091,Actividades de apoyo para la extracción de petróleo y de gas natural,view
ciiu_0910,ciiu_091,0910,Actividades de apoyo para la extracción de petróleo y de gas natural,dian
ciiu_099,ciiu_09,099,Actividades de apoyo para otras actividades de explotación de minas y canteras,view
ciiu_0990,ciiu_099,0990,Actividades de apoyo para otras actividades de explotación de minas y canteras,dian
base.res_partner_industry_C,,SECCIÓN C,INDUSTRIAS MANUFACTURERAS,view
ciiu_10,base.res_partner_industry_C,10,Elaboración de productos alimenticios,view
ciiu_101,ciiu_10,101,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos ",view
ciiu_1011,ciiu_101,1011,Procesamiento y conservación de carne y productos cárnicos,dian
ciiu_1012,ciiu_101,1012,"Procesamiento y conservación de pescados, crustáceos y moluscos",dian
ciiu_102,ciiu_10,102,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",view
ciiu_1020,ciiu_102,1020,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",dian
ciiu_103,ciiu_10,103,Elaboración de aceites y grasas de origen vegetal y animal,view
ciiu_1031,ciiu_103,1031,Extracción de aceites de origen vegetal crudos,dian
ciiu_1032,ciiu_103,1032,Elaboración de aceites y grasas de origen vegetal refinados,dian
ciiu_1033,ciiu_103,1033,Elaboración de aceites y grasas de origen animal,dian
ciiu_104,ciiu_10,104,Elaboración de productos lácteos,view
ciiu_1040,ciiu_104,1040,Elaboración de productos lácteos,dian
