id,code,name,country_id/id,phone_code
base.state_co_29,91,AMAZONAS,base.co,8
base.state_co_01,05,ANTIOQUIA,base.co,4
base.state_co_25,81,ARAUCA,base.co,7
base.state_co_28,88,ARCHIPIELAGO DE SAN ANDRES,base.co,8
base.state_co_02,08,ATLANTICO,base.co,5
base.state_co_03,11,BOGOTA- D.C.,base.co,1
base.state_co_04,13,BOLIVAR,base.co,5
base.state_co_05,15,BOYACA,base.co,8
base.state_co_06,17,CALDAS,base.co,6
base.state_co_07,18,CAQUETA,base.co,8
base.state_co_26,85,CASANARE,base.co,8
base.state_co_08,19,CAUCA,base.co,2
base.state_co_09,20,CESAR,base.co,5
base.state_co_12,27,CHOCO,base.co,4
base.state_co_10,23,CORDOBA,base.co,4
base.state_co_11,25,CUNDINAMARCA,base.co,1
base.state_co_30,94,GUAINIA,base.co,8
base.state_co_31,95,GUAVIARE,base.co,8
base.state_co_13,41,HUILA,base.co,8
base.state_co_14,44,LA GUAJIRA,base.co,5
base.state_co_15,47,MAGDALENA,base.co,5
base.state_co_16,50,META,base.co,8
base.state_co_17,52,NARIÑO,base.co,2
base.state_co_18,54,NORTE DE SANTANDER,base.co,7
base.state_co_27,86,PUTUMAYO,base.co,8
base.state_co_19,63,QUINDIO,base.co,6
base.state_co_20,66,RISARALDA,base.co,6
base.state_co_21,68,SANTANDER,base.co,7
base.state_co_22,70,SUCRE,base.co,5
base.state_co_23,73,TOLIMA,base.co,8
base.state_co_24,76,VALLE DEL CAUCA,base.co,2
base.state_co_32,97,VAUPES,base.co,8
base.state_co_33,99,VICHADA,base.co,8
